"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q1","111855.211","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q2","119702.007","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q3","126617.917","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2011-Q4","132077.33","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q1","122425.934","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q2","133650.323","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q3","135730.078","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2012-Q4","143945.947","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q1","142171.472","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q2","155035.006","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q3","161763.948","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2013-Q4","173277.84","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q1","167055.837","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q2","178632.794","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q3","188384.042","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2014-Q4","194340.482","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q1","197973.317","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q2","216487.768","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q3","233001.229","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2015-Q4","230410.099","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q1","234485.14237874","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q2","249303.1833498","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q3","246510.10718827","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2016-Q4","282309.70703762","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q1","300113.27319867","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"Türkiye, Republic of","Liabilities, Transferable Deposits, Included In Broad Money","Domestic currency","Quarterly","2017-Q2","315657.48778757","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
