title,sentiment,key_phrase,confidence,response_id,country
Argentina outlines plan for $1 . 6 bln in late natgas subsidy payments | Agricultural Commodities,negative,late natgas subsidy payments,high,LM4iaqO3B9nk7M8PjIvD0QE,Argentina
UPDATE 3 - Turkish lira weakens after rate hike - driven gains ; bank stocks drop,negative,lira weakens,high,MM4iatb9KLacnsEP5dmPmAY,Turkey
Argentina Prices Surged by Most in Two Years After Peso Plunge,negative,Prices Surged,high,N84iat7RF__ikdUPrOr6gAU,Argentina
EMERGING MARKETS - China stimulus drives third day of emerging - market gains,positive,China stimulus drives third day of emerging - market gains,high,O84iavL3N_KtnsEPnseNgQI,Turkey
"CORRECTING and REPLACING Western Asset High Income Fund II Inc . Portfolio Composition as of March 31 , 2018",neutral,Portfolio Composition,high,QM4iasS9JoWtkdUPofqS6Q0,Argentina
Turkey inflation rate hits six - month high ahead of elections - Xinhua,negative,inflation rate hits six-month high,high,Rc4iasvSCt-0kdUPoLz_-A0,Turkey
EMERGING MARKETS - Latin American equities jump as China signals openness,positive,equities jump,high,Ss4ias2rA-CJnsEP_fTEuAY,Argentina
Today Top Supply Chain and Logistics News From WSJ,neutral,Top Supply Chain and Logistics News,high,Ts4iapW1JOuD7M8P4vrYiA4,Argentina
UPDATE 2 - Argentine peso weakens 1 . 12 amid regional currency selloff,negative,peso weakens,high,U84iaovXHqDm7M8P1ZLM0AE,Argentina
Macri says Argentina currency crisis is over | Ap Wire,positive,currency crisis is over,high,WM4ias_TDbGBkdUP7Y3sgA4,Argentina
Telecom Argentina S . A . announces consolidated results for the annual period ( FY17 ) and fourth quarter for fiscal year 2017 ( 4Q17 ) ,neutral,announces consolidated results,high,XM4iauv9Lom0nsEP_PrDmA4,Argentina
Turkish lira skids past 5 to dollar and stocks drop on U . S . ... ,negative,lira skids past 5 to dollar and stocks drop,high,Yc4iarzkEamEkdUPkq20sQ8,Turkey
